Station,File,DateTime,UtcOffset,Identification,Confidence,GroupType,Age,Pelage,Activity,Comments,Survey,RelativePath,TriggerSource,DeleteFlag,ImageQuality
DS02G,09050095.JPG,2015-09-05T07:36:26.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09050096.JPG,2015-09-05T07:36:27.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09050097.JPG,2015-09-05T07:36:27.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09050098.JPG,2015-09-05T07:38:28.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09050099.JPG,2015-09-05T07:38:29.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09050100.JPG,2015-09-05T07:38:30.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09050101.JPG,2015-09-05T07:49:17.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09050102.JPG,2015-09-05T07:49:18.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09050103.JPG,2015-09-05T07:49:19.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180227.JPG,2015-09-18T07:11:47.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180228.JPG,2015-09-18T07:11:48.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180229.JPG,2015-09-18T07:11:48.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180230.JPG,2015-09-18T07:12:24.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180231.JPG,2015-09-18T07:12:24.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180232.JPG,2015-09-18T07:12:25.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180233.JPG,2015-09-18T07:13:15.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180234.JPG,2015-09-18T07:13:15.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180235.JPG,2015-09-18T07:13:16.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180236.JPG,2015-09-18T07:13:19.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180237.JPG,2015-09-18T07:13:20.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180238.JPG,2015-09-18T07:13:21.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180239.JPG,2015-09-18T07:13:36.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180240.JPG,2015-09-18T07:13:37.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180241.JPG,2015-09-18T07:13:37.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180248.JPG,2015-09-19T06:28:14.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180249.JPG,2015-09-19T06:28:15.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180250.JPG,2015-09-19T06:28:15.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180251.JPG,2015-09-19T06:28:23.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180252.JPG,2015-09-19T06:28:24.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180253.JPG,2015-09-19T06:28:24.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180254.JPG,2015-09-19T06:28:37.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180255.JPG,2015-09-19T06:28:38.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180256.JPG,2015-09-19T06:28:38.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180257.JPG,2015-09-19T06:28:44.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180258.JPG,2015-09-19T06:28:45.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180259.JPG,2015-09-19T06:28:46.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180260.JPG,2015-09-19T06:28:58.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180261.JPG,2015-09-19T06:28:59.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180262.JPG,2015-09-19T06:29:00.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180263.JPG,2015-09-19T06:36:59.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180264.JPG,2015-09-19T06:36:59.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180265.JPG,2015-09-19T06:37:00.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180266.JPG,2015-09-19T06:37:06.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180267.JPG,2015-09-19T06:37:07.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180268.JPG,2015-09-19T06:37:07.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180269.JPG,2015-09-19T06:37:13.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180270.JPG,2015-09-19T06:37:14.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09180271.JPG,2015-09-19T06:37:15.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09210338.JPG,2015-09-21T07:03:20.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09210339.JPG,2015-09-21T07:03:21.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09210340.JPG,2015-09-21T07:03:22.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09210341.JPG,2015-09-21T07:03:30.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09210342.JPG,2015-09-21T07:03:30.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS02G,09210343.JPG,2015-09-21T07:03:31.000Z,-7,red fox,high,single,adult,silver,unknown,,Cascades Carnivore 2015-16,DS02\20151110TW\Fox,critter,FALSE,Ok
DS05G,09040116.JPG,2015-09-05T00:38:57.000Z,-7,deer,high,single,adult, ,unknown, ,Cascades Carnivore 2015-16,DS05\20151106TW\DS05G\Critters,critter,FALSE,Ok
DS05G,09040117.JPG,2015-09-05T00:38:57.000Z,-7,deer,high,single,adult, ,unknown, ,Cascades Carnivore 2015-16,DS05\20151106TW\DS05G\Critters,critter,FALSE,Ok
DS05G,09040118.JPG,2015-09-05T00:39:22.000Z,-7,deer,high,single,adult, ,unknown, ,Cascades Carnivore 2015-16,DS05\20151106TW\DS05G\Critters,critter,FALSE,Ok
